status,age,familysize,healthy,gender,education,married,selfemployed,region,race
insured,42,4,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,43,4,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,39,,Yes,Female,Master's Degree,Yes,No,South,White
insured,26,2,Yes,Female,High School Diploma,Yes,No,West,White
insured,26,2,Yes,Male,High School Diploma,Yes,No,West,White
insured,31,3,Yes,Female,High School Diploma,Yes,No,South,White
insured,51,2,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,42,2,Yes,Male,High School Diploma,Yes,No,South,White
insured,39,4,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,31,4,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,47,2,Yes,Male,Bachelor Degree,Yes,No,MidWest,White
insured,38,2,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,61,2,Yes,Male,Other Degree,Yes,No,MidWest,White
insured,59,2,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,42,5,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,41,5,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,30,5,Yes,Male,High School Diploma,Yes,No,South,White
insured,42,3,Yes,Female,High School Diploma,Yes,No,South,White
insured,54,1,Yes,Female,High School Diploma,No,No,South,White
insured,46,2,Yes,Female,High School Diploma,Yes,No,West,White
insured,46,2,Yes,Male,High School Diploma,Yes,No,West,White
insured,60,2,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,36,2,Yes,Female,High School Diploma,No,No,South,White
insured,40,3,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,36,3,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,29,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,40,2,Yes,Male,High School Diploma,Yes,No,South,White
insured,40,3,Yes,Female,Bachelor Degree,Yes,No,NorthEast,White
insured,56,3,Yes,Male,High School Diploma,Yes,No,South,White
insured,40,4,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,43,4,Yes,Female,Master's Degree,Yes,No,South,White
insured,43,4,Yes,Male,Bachelor Degree,Yes,No,MidWest,White
insured,43,4,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,45,1,Yes,Female,High School Diploma,No,No,South,White
insured,53,2,Yes,Male,Master's Degree,Yes,No,South,White
insured,51,2,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,53,2,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,,4,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,27,1,Yes,Male,Bachelor Degree,No,No,MidWest,White
insured,44,1,Yes,Male,Bachelor Degree,No,No,NorthEast,White
insured,37,2,Yes,Male,Bachelor Degree,Yes,No,West,White
insured,38,2,Yes,Female,Bachelor Degree,Yes,No,West,White
insured,38,1,Yes,Male,Bachelor Degree,No,No,MidWest,White
insured,49,4,Yes,Male,High School Diploma,Yes,No,South,White
insured,31,4,Yes,Male,High School Diploma,Yes,No,South,White
insured,49,1,Yes,Female,Bachelor Degree,No,No,West,White
insured,51,3,No,Female,No certificate,No,No,NorthEast,White
insured,31,3,Yes,Female,No certificate,No,No,NorthEast,White
insured,48,3,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,43,6,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,61,2,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,61,2,Yes,Female,Other Degree,Yes,No,MidWest,White
insured,26,3,Yes,Female,High School Diploma,No,No,NorthEast,White
insured,45,3,Yes,Male,High School Diploma,Yes,No,South,White
insured,56,2,Yes,Female,High School Diploma,Yes,No,West,White
insured,35,3,Yes,Male,Bachelor Degree,Yes,No,MidWest,White
insured,25,3,Yes,Female,Other Degree,Yes,No,MidWest,White
insured,29,1,Yes,Female,PhD Degree,No,No,MidWest,White
insured,59,2,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,44,4,Yes,Male,High School Diploma,Yes,No,South,White
insured,40,4,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,24,5,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,48,5,Yes,Male,Master's Degree,Yes,No,West,White
insured,53,4,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,52,4,Yes,Female,No certificate,Yes,No,MidWest,White
insured,30,3,Yes,Male,High School Diploma,Yes,No,West,White
insured,39,4,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,40,4,Yes,Female,Master's Degree,Yes,No,South,White
insured,48,3,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,46,3,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,40,2,Yes,Female,High School Diploma,No,No,South,White
insured,29,2,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,31,2,Yes,Male,Bachelor Degree,Yes,No,MidWest,White
insured,35,1,Yes,Male,Other Degree,No,No,NorthEast,White
insured,35,3,Yes,Male,High School Diploma,Yes,No,West,White
insured,51,2,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,44,2,Yes,Male,High School Diploma,No,No,South,White
insured,39,2,Yes,Male,High School Diploma,No,No,West,Other
insured,35,4,Yes,Male,Bachelor Degree,Yes,No,NorthEast,White
insured,35,4,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,52,2,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,50,2,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,32,4,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,43,2,Yes,Female,High School Diploma,Yes,No,West,White
insured,31,4,Yes,Female,High School Diploma,Yes,No,South,White
insured,61,1,Yes,Male,High School Diploma,No,No,MidWest,White
insured,48,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,37,1,Yes,Female,High School Diploma,No,No,West,White
insured,31,5,Yes,Female,High School Diploma,No,No,MidWest,Black
insured,51,2,Yes,Female,Other Degree,Yes,No,NorthEast,White
insured,37,6,Yes,Male,High School Diploma,Yes,No,West,White
insured,37,6,Yes,Female,High School Diploma,Yes,No,West,White
insured,40,4,Yes,Female,High School Diploma,Yes,No,South,White
insured,52,2,Yes,Female,High School Diploma,No,No,West,White
insured,54,2,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,47,2,Yes,Female,High School Diploma,No,No,MidWest,White
insured,20,2,Yes,Female,High School Diploma,No,No,MidWest,White
insured,35,2,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,62,2,Yes,Female,High School Diploma,Yes,No,West,White
insured,35,4,Yes,Female,Bachelor Degree,Yes,No,West,Other
insured,49,3,Yes,Female,No certificate,No,No,West,White
insured,46,2,Yes,Female,High School Diploma,No,No,NorthEast,White
insured,24,2,Yes,Female,Bachelor Degree,No,No,MidWest,White
insured,29,2,Yes,Female,Bachelor Degree,No,No,MidWest,White
insured,39,5,Yes,Male,Bachelor Degree,Yes,No,MidWest,White
insured,37,5,Yes,Female,Master's Degree,Yes,No,MidWest,White
insured,18,4,Yes,Female,High School Diploma,No,No,West,White
insured,54,2,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,22,2,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,30,2,Yes,Female,High School Diploma,No,No,South,White
insured,34,4,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,54,2,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,27,2,Yes,Female,High School Diploma,No,No,South,White
insured,48,3,Yes,Female,Master's Degree,No,No,South,White
insured,35,4,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,32,4,Yes,Female,Master's Degree,Yes,No,MidWest,White
insured,57,2,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,57,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,39,4,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,37,2,Yes,Male,Bachelor Degree,Yes,No,MidWest,White
insured,25,4,Yes,Male,High School Diploma,No,No,MidWest,White
insured,26,4,Yes,Female,High School Diploma,No,No,MidWest,White
insured,21,4,Yes,Female,High School Diploma,No,No,MidWest,White
insured,40,2,Yes,Female,Bachelor Degree,No,No,South,White
insured,55,4,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,45,4,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,38,4,Yes,Male,High School Diploma,Yes,No,West,White
insured,28,4,Yes,Female,High School Diploma,Yes,No,West,White
insured,52,2,Yes,Female,PhD Degree,Yes,No,South,White
insured,58,2,Yes,Male,Bachelor Degree,Yes,No,MidWest,Other
insured,43,2,Yes,Female,Bachelor Degree,Yes,No,MidWest,Other
insured,42,2,Yes,Female,Bachelor Degree,No,No,South,White
insured,46,2,Yes,Female,Other Degree,No,No,MidWest,White
insured,31,5,Yes,Male,High School Diploma,Yes,No,West,Other
insured,34,4,Yes,Female,High School Diploma,Yes,No,West,White
insured,44,6,Yes,Male,Master's Degree,Yes,No,MidWest,White
insured,44,6,Yes,Female,Other Degree,Yes,No,MidWest,White
insured,29,3,Yes,Female,Other Degree,Yes,No,South,White
insured,44,3,Yes,Female,No certificate,Yes,No,West,White
insured,22,3,Yes,Male,High School Diploma,No,No,West,White
insured,51,2,Yes,Male,High School Diploma,Yes,No,West,White
insured,49,2,Yes,Female,High School Diploma,Yes,No,West,White
insured,33,4,Yes,Female,High School Diploma,No,No,MidWest,White
insured,29,4,Yes,Male,Other Degree,Yes,No,MidWest,White
insured,27,4,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,44,4,Yes,Male,High School Diploma,Yes,No,West,White
insured,40,4,Yes,Female,High School Diploma,Yes,No,West,White
insured,39,4,Yes,Male,High School Diploma,Yes,No,South,White
insured,38,4,Yes,Female,High School Diploma,Yes,No,South,White
insured,53,2,Yes,Male,High School Diploma,Yes,No,West,White
insured,28,2,Yes,Male,High School Diploma,Yes,No,South,White
insured,26,2,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,45,4,Yes,Male,Master's Degree,Yes,No,South,White
insured,46,4,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,56,2,Yes,Female,Bachelor Degree,No,No,South,White
insured,23,2,Yes,Male,High School Diploma,No,No,South,White
insured,52,4,Yes,Female,Other Degree,No,No,South,White
insured,32,4,Yes,Female,High School Diploma,No,No,South,White
not insured,41,1,Yes,Male,Master's Degree,No,No,MidWest,Black
insured,40,3,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,37,3,Yes,Female,Other Degree,Yes,No,NorthEast,White
insured,35,3,Yes,Male,Bachelor Degree,Yes,No,MidWest,White
insured,33,3,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,34,5,Yes,Male,High School Diploma,Yes,No,South,White
insured,43,5,Yes,Female,High School Diploma,Yes,No,South,White
insured,30,1,Yes,Male,High School Diploma,No,No,West,White
insured,41,2,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,35,3,Yes,Male,High School Diploma,No,No,West,White
insured,53,2,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,27,2,Yes,Female,Other Degree,No,No,West,White
insured,37,4,Yes,Male,Master's Degree,Yes,No,MidWest,White
insured,33,1,Yes,Female,High School Diploma,No,No,West,White
insured,59,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,59,2,Yes,Male,High School Diploma,Yes,No,South,White
insured,55,2,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,30,2,Yes,Female,High School Diploma,No,No,MidWest,White
insured,56,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,59,2,Yes,Female,High School Diploma,Yes,No,West,White
insured,44,5,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,42,5,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,28,2,Yes,Male,Bachelor Degree,Yes,No,NorthEast,White
insured,25,3,Yes,Female,High School Diploma,No,No,MidWest,White
insured,30,5,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,45,5,Yes,Female,Other Degree,Yes,No,MidWest,Black
insured,62,1,Yes,Female,High School Diploma,No,No,NorthEast,White
insured,26,1,Yes,Male,High School Diploma,No,No,South,White
insured,51,2,Yes,Female,Bachelor Degree,Yes,No,West,White
insured,50,2,Yes,Male,Bachelor Degree,Yes,No,West,White
insured,60,2,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,55,3,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,56,3,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,53,2,Yes,Male,High School Diploma,Yes,No,South,White
insured,27,1,Yes,Female,Bachelor Degree,No,No,South,White
insured,47,2,Yes,Male,High School Diploma,Yes,No,South,White
insured,46,2,Yes,Female,Bachelor Degree,Yes,No,South,White
not insured,35,3,Yes,Male,PhD Degree,Yes,No,South,Other
insured,49,2,Yes,Male,PhD Degree,Yes,No,South,White
insured,54,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,61,2,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,62,2,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,61,3,Yes,Male,Bachelor Degree,Yes,No,West,White
insured,38,6,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,39,3,Yes,Male,High School Diploma,Yes,No,South,White
insured,35,3,Yes,Female,High School Diploma,Yes,No,South,White
insured,38,1,Yes,Female,Other Degree,No,No,South,White
insured,61,2,Yes,Male,PhD Degree,Yes,No,MidWest,White
insured,38,5,Yes,Female,High School Diploma,No,No,South,White
insured,31,2,Yes,Male,Other Degree,Yes,No,NorthEast,White
insured,29,2,Yes,Female,Bachelor Degree,Yes,No,NorthEast,White
insured,55,1,Yes,Female,High School Diploma,No,No,South,White
insured,35,5,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,34,5,Yes,Male,Bachelor Degree,Yes,No,MidWest,Other
insured,32,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,46,4,Yes,Male,High School Diploma,Yes,No,West,White
insured,58,4,Yes,Female,High School Diploma,Yes,No,South,White
insured,61,4,Yes,Male,High School Diploma,Yes,No,South,White
insured,51,3,Yes,Male,Master's Degree,Yes,No,South,Other
insured,41,4,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,46,4,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,26,3,Yes,Male,High School Diploma,No,No,MidWest,White
insured,28,5,Yes,Female,No certificate,No,No,MidWest,White
insured,36,4,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,46,5,Yes,Male,Master's Degree,Yes,No,West,White
insured,35,5,Yes,Female,Bachelor Degree,Yes,No,West,White
insured,39,1,Yes,Female,PhD Degree,No,No,South,White
insured,24,3,Yes,Male,High School Diploma,No,No,West,Other
insured,50,3,Yes,Male,Master's Degree,Yes,No,West,White
insured,50,3,Yes,Female,Bachelor Degree,Yes,No,West,White
not insured,28,1,Yes,Male,PhD Degree,No,No,South,White
insured,36,3,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,38,3,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,23,1,Yes,Male,High School Diploma,No,No,MidWest,White
insured,41,1,Yes,Male,Bachelor Degree,No,No,NorthEast,White
insured,54,4,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,52,4,Yes,Female,High School Diploma,Yes,No,South,White
insured,26,4,Yes,Male,High School Diploma,No,No,South,White
insured,48,4,Yes,Male,High School Diploma,Yes,No,West,White
insured,35,2,Yes,Female,Master's Degree,Yes,No,South,White
insured,33,2,Yes,Male,High School Diploma,No,No,South,White
insured,43,3,Yes,Female,High School Diploma,Yes,No,West,White
insured,44,3,Yes,Male,High School Diploma,Yes,No,West,White
insured,49,1,Yes,Female,High School Diploma,No,No,MidWest,White
insured,43,5,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,39,5,Yes,Female,High School Diploma,Yes,No,South,White
insured,29,2,Yes,Female,No certificate,Yes,No,MidWest,White
insured,29,2,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,18,4,Yes,Male,High School Diploma,No,No,MidWest,White
insured,43,1,Yes,Male,High School Diploma,No,No,NorthEast,White
insured,27,1,Yes,Male,Master's Degree,No,No,West,White
insured,59,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,47,4,Yes,Male,Master's Degree,Yes,No,West,White
insured,37,4,Yes,Female,High School Diploma,Yes,No,West,White
insured,46,5,Yes,Male,Master's Degree,Yes,No,NorthEast,White
insured,47,3,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,45,3,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,56,4,Yes,Male,Bachelor Degree,Yes,No,West,White
insured,19,4,Yes,Male,High School Diploma,No,No,West,White
insured,32,1,Yes,Male,Master's Degree,No,No,West,White
insured,28,2,Yes,Male,Master's Degree,Yes,No,West,Other
insured,35,4,Yes,Male,Other Degree,Yes,No,NorthEast,White
insured,30,2,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,25,2,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,52,2,Yes,Male,Master's Degree,Yes,No,MidWest,White
insured,61,2,Yes,Female,Bachelor Degree,Yes,No,MidWest,Other
insured,54,3,Yes,Male,High School Diploma,Yes,No,South,White
insured,24,3,Yes,Male,High School Diploma,No,No,South,White
insured,34,1,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,42,2,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,46,3,Yes,Male,High School Diploma,Yes,No,South,Other
insured,24,3,Yes,Male,Other Degree,No,No,West,White
insured,25,1,Yes,Male,High School Diploma,No,No,West,White
insured,26,3,Yes,Female,Other Degree,No,No,West,White
insured,32,4,Yes,Female,High School Diploma,Yes,No,South,White
insured,39,4,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,48,2,Yes,Female,PhD Degree,Yes,No,NorthEast,Other
insured,45,2,Yes,Male,High School Diploma,Yes,No,South,White
insured,30,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,33,1,Yes,Male,Bachelor Degree,No,No,South,White
insured,37,4,Yes,Female,High School Diploma,No,No,MidWest,White
insured,36,4,Yes,Male,Other Degree,Yes,No,West,White
insured,49,3,Yes,Male,High School Diploma,Yes,No,South,White
insured,47,3,Yes,Female,High School Diploma,Yes,No,South,White
insured,23,3,Yes,Male,High School Diploma,No,No,South,White
insured,49,2,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,28,3,Yes,Female,High School Diploma,No,No,South,White
insured,47,3,Yes,Male,High School Diploma,Yes,No,West,White
insured,52,4,Yes,Male,Master's Degree,Yes,No,NorthEast,White
insured,52,3,Yes,Female,No certificate,Yes,No,West,White
insured,26,3,Yes,Female,Other Degree,No,No,West,White
insured,44,2,Yes,Female,Master's Degree,No,No,South,White
insured,53,1,Yes,Female,High School Diploma,No,No,South,White
insured,48,2,Yes,Female,Master's Degree,No,No,West,White
insured,31,1,Yes,Male,Bachelor Degree,No,No,MidWest,White
insured,37,4,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,32,4,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,44,2,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,42,4,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,42,4,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,31,5,Yes,Male,High School Diploma,Yes,No,West,White
insured,31,5,Yes,Female,High School Diploma,Yes,No,West,Other
insured,35,4,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,36,4,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,58,1,Yes,Male,Bachelor Degree,No,No,West,White
insured,50,3,Yes,Male,Bachelor Degree,No,No,MidWest,White
insured,30,1,Yes,Female,High School Diploma,No,No,South,White
insured,62,1,Yes,Female,High School Diploma,No,No,NorthEast,White
insured,33,1,Yes,Female,Master's Degree,No,No,NorthEast,White
insured,44,4,Yes,Female,Master's Degree,Yes,No,MidWest,White
insured,48,4,Yes,Male,Bachelor Degree,Yes,No,MidWest,White
insured,20,4,Yes,Male,High School Diploma,No,No,MidWest,White
insured,18,4,Yes,Female,No certificate,No,No,MidWest,White
insured,56,1,Yes,Female,Bachelor Degree,No,No,South,White
insured,43,2,Yes,Female,High School Diploma,No,No,MidWest,White
insured,30,3,Yes,Male,Bachelor Degree,Yes,No,NorthEast,White
insured,29,3,Yes,Female,Bachelor Degree,Yes,No,NorthEast,White
